district_name,state_name,women_bmi_below_normal,women_overweight,anaemia_children,anaemia_women,women_high_blood_sugar,men_high_blood_sugar,women_elevated_bp,men_elevated_bp,tobacco_women,tobacco_men
Krishnagiri,Tamil Nadu,11.7,34.5,46.5,44.3,4.9,6.7,23.5,25.3,8.2,20.3
Coimbatore,Tamil Nadu,10.1,50.0,37.8,48.8,6.8,7.7,29.2,33.3,5.5,21.4
Tiruppur,Tamil Nadu,9.9,45.0,44.8,55.9,5.9,6.1,26.8,28.9,5.7,22.8
Adilabad,Telangana,26.9,15.7,76.3,61.1,4.7,5.9,23.1,26.4,11.0,29.7
Bhadradri Kothagudem,Telangana,14.9,31.0,69.3,69.3,9.1,6.8,29.6,30.1,4.7,28.4
Hyderabad,Telangana,12.4,51.0,63.6,52.5,5.4,6.5,30.2,41.7,1.7,12.4
Jagitial,Telangana,22.5,26.0,59.9,56.4,7.5,8.6,25.5,31.3,11.2,23.5
Jangoan,Telangana,18.2,24.1,69.5,57.3,6.5,8.1,26.1,29.0,4.1,27.1
Jayashankar Bhupalapally,Telangana,17.7,22.4,67.9,66.4,5.3,9.8,28.4,31.5,5.6,27.4
Jogulamba Gadwal,Telangana,27.5,21.9,82.4,64.1,3.4,6.1,21.5,29.7,9.7,23.7
Kamareddy,Telangana,21.7,21.0,71.6,59.5,5.4,6.9,27.7,29.1,5.6,25.7
Karimnagar,Telangana,20.6,28.8,70.8,61.1,6.2,6.6,25.0,34.7,5.7,19.3
Khammam,Telangana,12.8,36.1,60.5,62.2,6.9,6.7,27.6,30.8,2.0,19.5
Komaram Bheem Asifabad,Telangana,25.7,14.0,70.7,67.3,3.9,6.2,21.8,27.2,12.8,37.7
Mahabubabad,Telangana,18.6,23.7,81.1,63.0,7.7,6.8,21.9,28.8,5.0,28.1
Mahabubnagar,Telangana,24.0,24.0,82.6,55.1,4.9,6.4,24.2,26.5,7.5,25.3
Mancherial,Telangana,21.9,24.6,58.7,57.1,6.7,6.5,27.9,32.0,6.5,22.4
Medak,Telangana,25.4,23.3,70.0,54.8,5.7,6.9,26.7,28.9,6.4,26.2
Medchal-Malkajgiri,Telangana,15.2,41.8,73.8,57.4,4.4,5.5,26.5,34.8,3.0,17.9
Nagarkurnool,Telangana,19.1,22.8,75.1,53.5,4.5,7.0,24.6,27.3,6.2,30.8
Nalgonda,Telangana,15.5,28.5,74.5,54.2,5.9,6.4,19.6,25.7,4.0,24.3
Nirmal,Telangana,26.9,22.5,65.3,58.1,5.6,6.7,25.1,28.5,13.0,29.0
Nizamabad,Telangana,21.0,27.5,65.3,57.7,5.1,6.3,27.1,31.2,8.6,20.6
Peddapalli,Telangana,16.5,26.1,69.6,64.6,4.2,7.3,27.7,34.7,4.6,21.6
Rajanna Sircilla,Telangana,18.6,23.8,65.7,56.6,6.5,6.2,30.2,36.0,8.5,19.4
Ranga Reddy,Telangana,14.9,40.6,75.8,53.6,5.2,6.3,28.5,35.0,4.5,18.9
Sangareddy,Telangana,20.0,29.4,67.0,47.9,4.4,6.3,25.7,32.6,5.4,27.3
Siddipet,Telangana,17.9,26.8,63.5,56.9,4.0,7.9,26.6,36.9,5.2,23.2
Suryapet,Telangana,16.0,33.9,76.6,58.1,8.1,9.0,25.2,27.3,3.0,20.8
Vikarabad,Telangana,25.6,25.7,70.0,61.3,4.8,5.7,27.0,30.3,11.6,29.2
Wanaparthy,Telangana,24.6,23.5,75.3,58.5,5.9,7.4,22.5,25.5,8.9,27.5
Warangal Rural,Telangana,22.6,26.4,71.5,59.2,6.6,6.5,26.3,29.4,2.8,23.2
Warangal Urban,Telangana,16.8,32.0,67.0,57.8,7.7,7.9,24.5,32.7,1.5,14.0
Yadadri Bhuvanagiri,Telangana,19.4,24.6,65.3,54.3,6.1,6.9,24.8,32.3,5.6,22.2
Dhalai,Tripura,15.9,19.1,81.2,69.7,8.5,7.8,14.5,17.4,55.2,61.3
Gomati,Tripura,14.1,19.6,70.7,62.6,7.9,8.4,19.8,21.4,49.6,55.8
Khowai,Tripura,18.7,15.4,73.4,63.7,9.9,10.3,19.0,21.4,51.3,61.9
North Tripura,Tripura,18.6,16.8,52.5,69.6,10.6,12.8,18.8,19.3,52.5,64.0
Sepahijala,Tripura,13.9,24.2,72.1,69.8,8.7,10.0,19.3,19.9,47.6,50.4
South Tripura,Tripura,16.8,22.8,59.6,66.8,8.3,9.7,22.4,24.2,51.0,54.3
Unakoti,Tripura,26.0,16.6,62.8,67.4,8.6,11.0,21.0,22.1,54.9,59.7
West Tripura,Tripura,13.7,26.8,54.5,67.6,8.4,7.9,25.1,27.1,47.7,55.2
Saharanpur,Uttar Pradesh,12.8,16.4,68.1,41.8,4.8,8.7,23.0,24.3,2.4,30.7
Bijnor,Uttar Pradesh,17.0,28.0,60.9,45.9,4.1,6.2,19.7,24.3,3.6,36.5
Rampur,Uttar Pradesh,13.6,20.6,69.6,55.7,6.6,7.5,17.7,21.0,4.9,36.1
Jyotiba Phule Nagar,Uttar Pradesh,16.0,19.7,69.6,47.9,2.8,6.9,19.1,24.6,4.4,38.9
Meerut,Uttar Pradesh,12.8,38.5,55.2,45.5,5.8,7.3,20.0,26.2,2.6,24.4
Baghpat,Uttar Pradesh,14.9,34.5,60.2,52.6,5.8,6.0,21.4,25.5,4.7,31.8
Gautam Buddha Nagar,Uttar Pradesh,15.0,34.7,62.9,59.3,6.9,6.8,16.4,20.9,3.0,29.7
Bulandshahr,Uttar Pradesh,15.8,32.2,64.1,51.5,6.7,6.9,21.2,26.2,4.1,34.4
Aligarh,Uttar Pradesh,18.6,29.4,62.6,56.4,7.4,7.8,18.2,22.0,5.1,37.0
Mahamaya Nagar,Uttar Pradesh,15.9,23.8,72.1,58.1,3.6,5.2,22.4,26.4,8.0,43.3
Mathura,Uttar Pradesh,18.1,25.4,77.2,63.5,3.9,4.8,21.1,25.4,9.3,42.9
Agra,Uttar Pradesh,15.4,25.2,73.0,59.4,3.7,4.3,16.8,20.9,8.9,46.1
Firozabad,Uttar Pradesh,18.8,24.3,73.9,57.7,4.5,5.5,18.1,20.5,5.2,45.6
Mainpuri,Uttar Pradesh,15.3,21.7,70.4,58.2,4.4,6.3,14.4,17.9,2.9,41.3
Bareilly,Uttar Pradesh,18.2,25.0,67.7,61.3,3.6,5.7,16.4,17.6,5.5,39.3
Pilibhit,Uttar Pradesh,16.4,21.4,57.3,52.6,5.0,6.4,19.5,17.5,4.9,38.2
Shahjahanpur,Uttar Pradesh,17.8,17.2,75.4,60.6,4.5,3.9,16.1,14.5,6.6,49.0
Kheri,Uttar Pradesh,30.9,16.4,66.3,52.8,4.0,4.7,20.1,22.4,14.8,55.2
Sitapur,Uttar Pradesh,30.1,15.4,66.4,55.2,3.7,4.5,17.8,23.0,13.8,59.7
Hardoi,Uttar Pradesh,22.9,13.6,76.1,59.5,4.1,5.8,18.1,19.9,6.5,52.1
Unnao,Uttar Pradesh,22.6,20.6,76.0,49.6,4.4,4.4,22.0,21.4,9.5,50.9
Lucknow,Uttar Pradesh,15.7,34.8,52.9,55.9,6.1,5.6,21.2,22.8,7.7,39.2
Farrukhabad,Uttar Pradesh,18.3,15.7,77.1,57.5,3.3,3.9,13.8,14.8,6.4,49.0
Kannauj,Uttar Pradesh,20.5,18.8,79.6,65.2,3.1,2.8,14.9,14.4,8.7,50.9
Etawah,Uttar Pradesh,16.0,23.7,74.0,57.6,4.9,5.2,16.7,19.7,5.2,45.5
Auraiya,Uttar Pradesh,18.8,19.3,64.2,39.0,3.0,3.7,20.0,22.1,9.3,46.8
Kanpur Dehat,Uttar Pradesh,17.1,19.6,69.2,54.6,4.2,5.1,12.6,16.5,10.2,50.5
Kanpur Nagar,Uttar Pradesh,13.8,25.2,76.3,57.4,5.1,3.9,17.3,16.2,9.5,46.8
Jalaun,Uttar Pradesh,22.2,14.6,55.2,44.0,2.6,2.8,16.8,20.0,13.4,49.9
Jhansi,Uttar Pradesh,18.7,12.6,70.3,41.5,2.8,5.7,15.7,17.3,10.1,49.5
Lalitpur,Uttar Pradesh,22.4,13.2,56.0,37.5,2.6,3.8,17.2,17.9,5.5,54.5
Hamirpur,Uttar Pradesh,22.5,9.3,68.5,46.4,2.6,4.4,16.7,18.8,17.0,64.5
Mahoba,Uttar Pradesh,28.0,10.6,70.1,49.5,3.4,3.1,15.0,15.7,13.2,63.3
Banda,Uttar Pradesh,25.7,13.5,82.2,52.3,6.6,6.7,20.1,18.9,19.7,63.3
Chitrakoot,Uttar Pradesh,24.1,14.5,55.3,46.7,1.6,3.8,15.1,16.4,12.7,59.6
Fatehpur,Uttar Pradesh,24.7,15.8,78.1,63.7,2.5,4.2,17.0,18.0,20.8,60.8
Pratapgarh,Uttar Pradesh,19.6,25.0,58.0,49.9,6.9,8.2,17.6,22.3,11.9,41.4
Kaushambi,Uttar Pradesh,24.1,17.3,65.5,54.6,6.7,7.2,9.4,10.0,14.9,53.6
Allahabad,Uttar Pradesh,17.3,25.5,50.5,46.5,6.3,7.7,12.6,17.7,11.9,44.6
Bara Banki,Uttar Pradesh,26.0,17.1,65.5,55.0,3.2,5.2,19.1,22.7,11.2,50.2
Faizabad,Uttar Pradesh,20.0,24.5,57.7,52.7,7.9,10.6,14.9,17.7,8.7,41.2
Ambedkar Nagar,Uttar Pradesh,26.7,20.3,54.9,52.9,7.2,8.5,17.2,22.0,12.8,52.9
Bahraich,Uttar Pradesh,29.9,12.5,71.7,48.8,2.1,4.8,24.2,28.7,26.6,59.0
Shrawasti,Uttar Pradesh,22.8,13.7,61.2,44.6,3.9,4.6,18.4,18.7,24.2,64.2
Balrampur,Uttar Pradesh,22.2,14.8,75.4,54.8,3.3,4.2,23.2,25.3,23.6,59.8
Gonda,Uttar Pradesh,24.6,17.5,62.0,49.3,3.6,3.2,22.9,28.6,18.0,51.6
Siddharthnagar,Uttar Pradesh,25.8,12.9,75.8,51.4,4.0,5.5,19.1,23.5,14.6,54.9
Basti,Uttar Pradesh,20.0,16.8,58.4,40.3,4.3,5.9,19.2,25.0,10.2,51.3
Sant Kabir Nagar,Uttar Pradesh,19.3,15.9,71.6,43.8,4.5,5.1,22.5,28.2,9.9,51.9
Mahrajganj,Uttar Pradesh,17.9,19.9,60.5,47.3,6.0,6.9,19.6,24.9,5.9,47.8
Gorakhpur,Uttar Pradesh,18.0,21.1,67.4,53.4,6.9,6.3,16.8,20.7,5.4,44.6
Kushinagar,Uttar Pradesh,19.0,20.2,52.8,42.7,4.9,6.2,16.4,21.9,4.3,45.1
Deoria,Uttar Pradesh,16.8,19.3,54.9,34.2,4.2,6.3,17.6,21.0,2.3,36.9
Azamgarh,Uttar Pradesh,22.1,21.5,58.9,54.2,6.8,6.8,19.4,28.7,9.4,44.1
Mau,Uttar Pradesh,16.5,20.2,62.7,44.5,4.8,5.8,23.9,29.9,6.4,39.3
Ballia,Uttar Pradesh,16.8,16.6,71.6,53.0,5.0,6.3,17.1,20.7,2.2,35.6
Jaunpur,Uttar Pradesh,17.5,15.7,65.3,34.1,3.5,4.9,16.0,19.7,5.8,43.8
Ghazipur,Uttar Pradesh,19.4,14.3,71.6,46.2,4.9,7.8,14.2,20.3,4.4,37.7
Chandauli,Uttar Pradesh,21.4,23.1,64.6,48.5,5.2,6.5,18.9,23.6,7.1,44.8
Varanasi,Uttar Pradesh,15.7,22.6,65.2,38.2,4.3,7.2,19.0,27.1,5.5,38.4
Sant Ravidas Nagar (Bhadohi),Uttar Pradesh,15.8,26.5,59.2,43.2,4.3,5.3,14.9,23.0,7.4,36.5
Mirzapur,Uttar Pradesh,20.9,22.3,59.8,42.3,3.8,5.4,21.7,29.0,5.4,42.2
Sonbhadra,Uttar Pradesh,20.9,15.3,63.0,44.2,5.1,5.8,19.0,21.4,5.8,54.1
Etah,Uttar Pradesh,18.7,20.4,77.4,56.0,3.7,4.8,16.4,19.2,5.0,46.0
Kanshiram Nagar,Uttar Pradesh,17.7,20.7,80.8,66.1,3.6,6.4,16.5,19.5,6.9,44.7
Amethi,Uttar Pradesh,21.0,23.5,52.4,46.6,5.9,5.7,19.2,21.2,11.5,49.3
Budaun,Uttar Pradesh,19.4,15.2,72.2,56.2,5.0,6.8,13.0,13.8,7.1,41.9
Ghaziabad,Uttar Pradesh,11.1,43.7,61.8,55.9,7.8,8.0,19.3,24.5,1.7,22.3
Hapur,Uttar Pradesh,9.4,32.4,69.4,51.7,4.1,4.9,22.9,25.7,2.4,30.8
Moradabad,Uttar Pradesh,13.4,17.0,67.6,45.5,5.2,8.1,21.3,25.6,3.6,32.6
Muzaffarnagar,Uttar Pradesh,11.1,28.1,65.4,46.2,5.5,8.5,21.6,24.2,3.7,31.7
Rae Bareli,Uttar Pradesh,18.5,18.7,76.4,48.3,3.9,3.1,19.4,17.9,11.8,50.4
Sambhal,Uttar Pradesh,16.1,19.6,69.8,51.1,3.5,4.8,19.3,22.7,4.9,40.3
Shamli,Uttar Pradesh,9.8,22.6,65.2,42.4,4.6,7.4,21.2,28.6,3.7,30.6
Sultanpur,Uttar Pradesh,20.8,22.9,62.3,49.5,5.6,7.8,20.6,24.3,14.2,47.5
Uttarkashi,Uttarakhand,12.9,21.5,73.6,60.8,4.5,4.4,19.0,24.4,2.5,35.1
Chamoli,Uttarakhand,9.6,24.2,65.5,41.8,3.4,3.6,19.7,28.5,2.2,38.4
Rudraprayag,Uttarakhand,8.8,25.3,52.4,40.7,5.7,6.7,18.7,31.7,2.0,41.0
Tehri Garhwal,Uttarakhand,12.7,20.9,61.7,41.9,3.7,4.6,20.0,34.0,3.8,41.1
Dehradun,Uttarakhand,13.1,39.8,59.5,47.9,4.5,5.8,23.7,31.9,2.4,25.6
Garhwal,Uttarakhand,16.1,21.0,57.2,40.8,4.4,5.4,22.1,34.3,6.4,42.9
Pithoragarh,Uttarakhand,11.5,21.8,36.2,25.2,3.5,4.5,23.3,32.9,4.3,38.5
Bageshwar,Uttarakhand,17.2,17.6,43.7,27.8,3.8,4.6,20.2,34.9,7.7,43.7
Almora,Uttarakhand,15.6,19.5,57.7,34.0,5.3,6.9,24.6,33.2,5.5,44.3
Champawat,Uttarakhand,14.6,17.9,43.1,32.6,3.3,3.8,19.9,29.7,4.9,38.7
Nainital,Uttarakhand,12.7,33.3,59.8,34.6,4.6,6.3,24.0,30.4,5.2,34.8
Udham Singh Nagar,Uttarakhand,14.1,35.4,60.8,51.1,5.3,7.7,22.2,30.2,5.3,31.7
Hardwar,Uttarakhand,15.9,29.8,63.1,42.8,2.6,4.5,26.2,33.9,5.7,31.8
Darjiling,West Bengal,11.8,28.3,68.1,59.1,7.0,9.0,29.2,29.5,14.4,49.0
Jalpaiguri,West Bengal,15.8,16.7,67.4,72.2,7.9,9.5,21.2,23.7,19.0,54.2
Koch Bihar,West Bengal,18.1,16.5,66.4,74.9,8.3,9.6,21.7,20.8,22.3,56.1
Uttar Dinajpur,West Bengal,16.5,14.6,77.2,71.9,8.0,10.3,16.3,23.8,10.2,49.1
Dakshin Dinajpur,West Bengal,14.9,20.2,72.5,82.8,10.5,13.5,17.6,16.2,12.8,47.2
Maldah,West Bengal,15.7,22.0,71.0,73.8,8.0,10.1,19.3,17.8,8.4,45.2
Murshidabad,West Bengal,19.9,25.2,72.1,78.0,8.9,11.1,18.7,16.3,5.1,43.7
Birbhum,West Bengal,20.5,13.4,76.5,78.2,8.7,11.4,17.5,14.1,8.1,50.3
Nadia,West Bengal,8.3,28.6,63.6,73.8,11.1,11.9,21.2,16.0,6.8,47.7
North Twenty Four Pargana,West Bengal,6.5,26.4,57.9,65.4,9.7,12.9,19.0,17.1,7.0,49.8
Hugli,West Bengal,14.1,34.6,67.9,75.1,8.8,9.7,24.1,26.7,8.1,53.5
Bankura,West Bengal,28.0,13.0,67.1,77.3,8.1,11.4,21.0,20.3,21.5,47.7
Puruliya,West Bengal,33.7,9.6,77.9,76.9,10.1,10.8,17.5,20.4,26.7,51.2
Haora,West Bengal,10.3,22.8,67.7,65.6,9.5,10.8,24.0,26.8,6.0,44.7
Kolkata,West Bengal,6.6,29.0,72.3,58.4,10.6,9.4,23.9,23.8,6.0,42.4
South Twenty Four Pargana,West Bengal,9.9,21.2,70.4,62.1,7.2,9.8,21.5,19.1,6.3,49.8
Paschim Medinipur,West Bengal,18.9,19.1,66.0,82.0,9.3,9.9,19.3,19.0,18.8,50.5
Purba Medinipur,West Bengal,16.5,27.4,67.5,70.5,8.8,10.8,18.1,21.3,12.9,40.1
Paschim Barddhaman,West Bengal,18.4,20.4,74.7,66.5,8.5,12.2,17.6,20.7,11.8,40.2
